"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Clairvoyance: Cross-contract Static Analysis for Detecting Practical Reentrancy Vulnerabilities in Smart Contracts","J. Ye; M. Ma; Y. Lin; Y. Sui; Y. Xue",University of Science and Technology of China; University of Science and Technology of China; National University of Singapore; University of Technology Sydney; University of Science and Technology of China,"2020 IEEE/ACM 42nd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)","1 Dec 2020","2020","","","274","275","Reentrancy bugs in smart contracts caused a devastating financial loss in 2016, considered as one of the most severe vulnerabilities in smart contracts. Most of the existing general-purpose security tools for smart contracts have claimed to be able to detect reentrancy bugs. In this paper, we present Clairvoyance, a cross-function and cross-contract static analysis by identifying infeasible paths to detect reentrancy vulnerabilities in smart contracts. To reduce FPs, we have summarized five major path protective techniques (PPTs) to support fast yet precise path feasibility checking. We have implemented our approach and compared Clairvoyance with three state-of-the-art tools on 17770 real-worlds contracts. The results show that Clairvoyance yields the best detection accuracy among all the tools.","2574-1926","978-1-4503-7122-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9270398","reentrancy detection;path feasibility analysis;cross contract analysis;smart contract security","Tools;Smart contracts;Computer bugs;Software engineering;Security;Solid modeling;Software development management","contracts;program debugging;program diagnostics;security of data","Clairvoyance;cross-contract static analysis;smart contracts;reentrancy bugs;real-worlds contracts;practical reentrancy vulnerabilities detection;cross-function;path protective techniques;detection accuracy","","","","6","","1 Dec 2020","","","IEEE","IEEE Conferences"
"Cross-Contract Static Analysis for Detecting Practical Reentrancy Vulnerabilities in Smart Contracts","Y. Xue; M. Ma; Y. Lin; Y. Sui; J. Ye; T. Peng","University of Science and Technology of China,Hefei,China; University of Science and Technology of China,Hefei,China; National University of Singapore,Singapore; University of Technology Sydney,Sydney,Austrilia; University of Science and Technology of China,Hefei,China; University of Science and Technology of China,Hefei,China","2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE)","24 Dec 2020","2020","","","1029","1040","Reentrancy bugs, one of the most severe vulnerabilities in smart contracts, have caused huge financial loss in recent years. Researchers have proposed many approaches to detecting them. However, empirical studies have shown that these approaches suffer from undesirable false positives and false negatives, when the code under detection involves the interaction between multiple smart contracts. In this paper, we propose an accurate and efficient cross-contract reentrancy detection approach in practice. Rather than design rule-of-thumb heuristics, we conduct a large empirical study of 11714 real-world contracts from Etherscan against three well-known general-purpose security tools for reentrancy detection. We manually summarized the reentrancy scenarios where the state-of-the-art approaches cannot address. Based on the empirical evidence, we present Clairvoyance, a cross-function and cross-contract static analysis to detect reentrancy vulnerabilities in real world with significantly higher accuracy. To reduce false negatives, we enable, for the first time, a cross-contract call chain analysis by tracking possibly tainted paths. To reduce false positives, we systematically summarized five major path protective techniques (PPTs) to support fast yet precise path feasibility checking. We implemented our approach and compared Clairvoyance with five state-of-the-art tools on 17770 real-worlds contracts. The results show that Clairvoyance yields the best detection accuracy among all the five tools and also finds 101 unknown reentrancy vulnerabilities.","2643-1572","978-1-4503-6768-4","","National Natural Science Foundation of China(grant numbers:61972373); Australian Research Council(grant numbers:DP200101328); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9286095","reentrancy vulnerabilities;static taint analysis;cross-contract analysis;smart contracts","Smart contracts;Computer bugs;Static analysis;Tools;Security;Software engineering","contracts;data flow analysis;program diagnostics;security of data","cross-function;cross-contract static analysis;false negatives;cross-contract call chain analysis;17770 real-worlds contracts;detection accuracy;101 unknown reentrancy vulnerabilities;practical reentrancy vulnerabilities;reentrancy bugs;severe vulnerabilities;huge financial loss;undesirable false positives;multiple smart contracts;accurate cross-contract reentrancy detection approach;efficient cross-contract reentrancy detection approach;real-world contracts;well-known general-purpose security tools;reentrancy scenarios;empirical evidence","","","","53","","24 Dec 2020","","","IEEE","IEEE Conferences"
"Source Code Obfuscation for Smart Contracts","M. Zhang; P. Zhang; X. Luo; F. Xiao","College of Computer and Information Hohai University,Nanjing,P.R. China; College of Computer and Information Hohai University,Nanjing,P.R. China; Hong Kong Polytechnic University,Department of Computing,HongKong,P.R.China; College of Computer and Information Hohai University,Nanjing,P.R. China","2020 27th Asia-Pacific Software Engineering Conference (APSEC)","1 Mar 2021","2020","","","513","514","State-of-the-art work of evaluating smart contract static analysis tools faces a major problem: most test cases (i.e., labeled buggy contracts) are too simple and lack complexity, which makes the evaluation unable to show the real performance of the analysis tools when complex contracts are analyzed. To fill the gap, we propose a novel source code obfuscation approach for Ethereum smart contracts. We use the buggy contracts in the public dataset<sup>11</sup> https://github.com/smartbugs/smartbugs/tree/master/dataset to evaluate our approach. The evaluation result shows that our approach can effectively increase the complexity of a contract. Besides, we use obfuscated contracts to evaluate the static analysis tools. The evaluation result shows that the performance of most smart contract static analysis tools decreases in different degree when the original contracts are obfuscated.","2640-0715","978-1-7281-9553-7","10.1109/APSEC51365.2020.00069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359296","Ethereum;smart contract;obfuscation","Smart contracts;Static analysis;Tools;Complexity theory;Faces;Software engineering","contracts;Java;program diagnostics;security of data;source code (software)","complex contracts;source code obfuscation approach;Ethereum smart contracts;obfuscated contracts;smart contract static analysis tools;labeled buggy contracts","","","","4","","1 Mar 2021","","","IEEE","IEEE Conferences"
"Towards Analyzing the Complexity Landscape of Solidity Based Ethereum Smart Contracts","P. Hegedus","MTA-SZTE Res. Group on Artificial Intell., Szeged, Hungary","2018 IEEE/ACM 1st International Workshop on Emerging Trends in Software Engineering for Blockchain (WETSEB)","26 Aug 2018","2018","","","35","39","The blockchain based decentralized cryptocurrency platforms are one of the hottest topics in tech at the moment. Though most of the interest is generated by cryptocurrency related activities, it is becoming apparent that a much wider spectrum of applications can leverage the blockchain technology. The primary concepts enabling such general use of the blockchain are the so-called smart contracts, which are special programs that run on the blockchain. One of the most popular blockchain platforms that supports smart contracts are Ethereum. As smart contracts typically handle money, ensuring their low number of faults and vulnerabilities are essential. To aid smart contract developers and help maturing the technology, we need analysis tools and studies for smart contracts. As an initiative for this, we propose the adoption of some well-known OO metrics for Solidity smart contracts. Furthermore, we analyze more than 10,000 smart contracts with our prototype tool. The results suggest that smart contract programs are short, not overly complex and either quite well-commented or not commented at all. Moreover, smart contracts could benefit from an external library and dependency management mechanism, as more than 80% of the defined libraries in Solidity files code the same functionalities.","","978-1-4503-5726-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8445056","static analysis;ethereum;smart contracts;metrics;complexity;blockchain","Contracts;Measurement;Libraries;Complexity theory;Tools;Cryptocurrency","contracts;cryptography;financial data processing;object-oriented methods","smart contract programs;ethereum smart contracts;popular blockchain platforms;smart contract developers;Solidity smart contracts;blockchain based decentralized cryptocurrency platforms;cryptocurrency related activities;OO metrics;prototype tool;Solidity files","","","","9","","26 Aug 2018","","","IEEE","IEEE Conferences"
"Smart Contract Defect Detection Based on Parallel Symbolic Execution","Z. Tian","School of Computer Science and Technology, Beijing Institute of Technology,Beijing,China,100081","2019 3rd International Conference on Circuits, System and Simulation (ICCSS)","19 Dec 2019","2019","","","127","132","There are more than 1 million smart contracts in Ethereum and the number of ethers managed by smart contracts has exceeded 100 million, but the security vulnerabilities in smart contracts seriously jeopardize the financial security of Ethereum users. Existing method for defect detection of smart contract bytecode using symbolic execution does not take care of the accuracy and detection realtime at same time. In this paper a smart contract bytecode defect detection algorithm based on parallel symbolic execution is proposed. We split a smart contract in units of functions by analyzing the smart contract function selection process. A symbolic execution tree is constructed for each function to predict the function execution path. Then we partition the symbolic execution tree into multiple sub-trees evenly. Finally, a process pool is used to perform parallel symbolic execution on those sub-trees to reduce the analysis time of smart contract defect detection. Experimental data shows our method has a significant improvement in detection efficiency compared with existing symbolic execution method. The speedup ratio is up to 3.1x in a 4-core computer. Besides, it does not introduce false positives or false negatives.","","978-1-7281-3657-8","10.1109/CIRSYSSIM.2019.8935603","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8935603","parallel optimization;smart contract;symbolic execution;defect detection;constraint solving","Smart contracts;Flow graphs;Task analysis;Security;Blockchain;Tools","cryptocurrencies;data flow analysis;program diagnostics;program testing;program verification;symbol manipulation;trees (mathematics)","smart contract defect detection;parallel symbolic execution;defect detection algorithm;smart contract function selection process;symbolic execution tree","","","","19","","19 Dec 2019","","","IEEE","IEEE Conferences"
"Seraph: Enabling Cross-Platform Security Analysis For EVM and WASM Smart Contracts","Z. Yang; H. Liu; Y. Li; H. Zheng; L. Wang; B. Chen","Oxford-Hainan Blockchain Research Institute,Hainan,China; Oxford-Hainan Blockchain Research Institute,Hainan,China; Oxford-Hainan Blockchain Research Institute,Hainan,China; Oxford-Hainan Blockchain Research Institute,Hainan,China; Oxford-Hainan Blockchain Research Institute,Hainan,China; Oxford-Hainan Blockchain Research Institute,Hainan,China","2020 IEEE/ACM 42nd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)","1 Dec 2020","2020","","","21","24","As blockchain becomes increasingly popular across various industries in recent years, many companies started designing and developing their own smart contract platforms to enable better services on blockchain. While smart contracts are notoriously known to be vulnerable to external attacks, such platform diversity further amplified the security challenge. To mitigate this problem, we designed the very first cross-platform security analyzer called Seraph for smart contracts. Specifically, Seraph enables automated security analysis for different platforms built on two mainstream virtual machine architectures, i.e, EVM and WASM. To this end, Seraph introduces a set of general connector API to abstract interactions between the virtual machine and blockchain, e.g., load and update storage data on blockchain. Moreover, we proposed the symbolic semantic graph to model critical dependencies and decoupled security analysis from contract code as well. Our preliminary evaluation on four existing smart contract platforms demonstrated the potential of Seraph in finding security threats both flexibly and accurately. A video of Seraph is available at https://youtu.be/wxixZkVqUsc.","2574-1926","978-1-4503-7122-3","","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9270363","smart contracts;connector API;symbolic semantic graph","Blockchain;Security;Smart contracts;Semantics;Connectors;Task analysis;Engines","application program interfaces;cryptography;distributed databases;graph theory;virtual machines","symbolic semantic graph;virtual machine architectures;cross-platform security analysis;contract code;decoupled security analysis;platform diversity;blockchain;WASM smart contracts;EVM;security threats;Seraph","","","","17","","1 Dec 2020","","","IEEE","IEEE Conferences"
"Summary of: A Federated Society of Bots for Smart Contract Testing","E. Viglianisi; M. Ceccato; P. Tonella","Fondazione Bruno Kessler,Trento,Italy; University of Verona,Verona,Italy; Università della Svizzera italiana,Lugano,Switzerland","2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST)","24 May 2021","2021","","","282","283","The peculiar novelty of smart contracts is a computational model where irreversible transactions are stored in a distributed persistent data storage, namely the blockchain. The technical nature of this new type of software opens to new kinds of faults, which require specific test capabilities to be revealed. In this paper we present SOCRATES, an extensible and modular framework to automatically test smart contracts. The distinctive features of SOCRATES are: (1) a collection of composable behaviours that exercise smart contracts in the blockchain; (2) it deploys a society of bots, with the purpose of detecting defects arising from multi-user interactions, which are impossible to reveal when deploying a single bot. Our empirical investigation demonstrates that SOCRATES is able expose both known and previously unknown faults in smart contracts that are actively run in the official Ethereum blockchain. Moreover, we show that a society of multiple bots is more efficient in fault exposure than a single bot alone.","2159-4848","978-1-7281-6836-4","10.1109/ICST49551.2021.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438545","Smart contracts;Software testing;Ethereum","Software testing;Bot (Internet);Conferences;Smart contracts;Memory;Blockchain;Programming","contracts;formal specification;program testing;systems analysis","single bot;federated society;bots;smart contract testing;smart contracts;distributed persistent data storage;blockchain;specific test capabilities;SOCRATES","","","","4","","24 May 2021","","","IEEE","IEEE Conferences"
"Off-chain Data Fetching Architecture for Ethereum Smart Contract","X. Liu; R. Chen; Y. Chen; S. Yuan","College of Computer and Information Sciences, Fujian Agriculture and Forestry University, Fuzhou, 350002, China; College of Computer and Information Sciences, Fujian Agriculture and Forestry University, Fuzhou, 350002, China; Dept. of Computer Science, National Chiao Tung University, Hsinchu, Taiwan, ROC; Dept. of Computer Science, National Chiao Tung University, Hsinchu, Taiwan, ROC","2018 International Conference on Cloud Computing, Big Data and Blockchain (ICCBB)","11 Jul 2019","2018","","","1","4","Ethereum smart contract makes developers can deploy decentralized applications to inherit features from blockchain, such as decentralization and openness. Although Ethereum provided a decentralized platform, Ethereum Virtual Machine for smart contracts, it lacks of ability to fetch off-chain data. The general solution is Oracle data carrier. However, Oracle results in rising deployment costs. It requires Ethereum smart contract developers to follow format in programing contract, this constraint decreases the readability of smart contract. This paper proposes an off-chain data fetching architecture which is cost-effective and highly elastic for smart contract. It also compatible with exited contract, which makes Ethereum smart contract owner able to automate the reply process.","7281-1277","978-1-7281-1277-0","10.1109/ICCBB.2018.8756348","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8756348","Blockchain;Ethereum;Smart contract;Oracle","Smart contracts;Computer architecture;Blockchain;Task analysis;Monitoring;Virtual machining","contracts;cryptography;distributed databases;software architecture;storage management;virtual machines","Oracle data carrier;programing contract;decentralized applications;Ethereum virtual machine;Ethereum smart contract;off-chain data fetching architecture;blockchain-based distributed computing","","5","","12","","11 Jul 2019","","","IEEE","IEEE Conferences"
"A Microservice-enabled Architecture for Smart Surveillance using Blockchain Technology","D. Nagothu; R. Xu; S. Y. Nikouei; Y. Chen","Dept. of Electrical & Computer Engineering, Binghamton University, SUNY, Binghamton, NY 13902, USA; Dept. of Electrical & Computer Engineering, Binghamton University, SUNY, Binghamton, NY 13902, USA; Dept. of Electrical & Computer Engineering, Binghamton University, SUNY, Binghamton, NY 13902, USA; Dept. of Electrical & Computer Engineering, Binghamton University, SUNY, Binghamton, NY 13902, USA","2018 IEEE International Smart Cities Conference (ISC2)","4 Mar 2019","2018","","","1","4","While the smart surveillance system enhanced by the Internet of Things (IoT) technology becomes an essential part of Smart Cities, it also brings new concerns in security of the data. Compared to the traditional surveillance systems that is built following a monolithic architecture to carry out lower level operations, such as monitoring and recording, the modern surveillance systems are expected to support more scalable and decentralized solutions for advanced video stream analysis at the large volumes of distributed edge devices. In addition, the centralized architecture of the conventional surveillance systems is vulnerable to single point of failure and privacy breach owning to the lack of protection to the surveillance feed. This position paper introduces a novel secure smart surveillance system based on microservices architecture and blockchain technology. Encapsulating the video analysis algorithms as various independent microservices not only isolates the video feed from different sectors, but also improve the system availability and robustness by decentralizing the operations. The blockchain technology securely synchronizes the video analysis databases among microservices across surveillance domains, and provides tamper proof of data in the trustless network environment. Smart contract enabled access authorization strategy prevents any unauthorized user from accessing the microservices and offers a scalable, decentralized and fine-grained access control solution for smart surveillance systems.","","978-1-5386-5959-5","10.1109/ISC2.2018.8656968","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8656968","Microservices Architecture;Blockchain;Smart Contracts;Smart Surveillance;Decentralization","Blockchain;Computer architecture;Surveillance;Smart contracts;Security;Databases;Image edge detection","authorisation;cryptography;data privacy;distributed databases;Internet of Things;smart cities;software architecture;video signal processing;video streaming;video surveillance","blockchain technology;video analysis databases;microservice-enabled architecture;smart cities;video stream analysis;smart surveillance system;access control solution;Internet of Things technology;smart contract","","17","","15","","4 Mar 2019","","","IEEE","IEEE Conferences"
"Machine Learning Based Bug Prediction Engine For Smart Contracts","A. GÜl; Y. KÖorĞlu; A. Şen","Bogaziçi Üniversitesi,Bilgisayar Mühendisliği Bölümü; Bogaziçi Üniversitesi,Bilgisayar Mühendisliği Bölümü; Bogaziçi Üniversitesi,Bilgisayar Mühendisliği Bölümü","2020 Turkish National Software Engineering Symposium (UYMS)","9 Nov 2020","2020","","","1","6","As blockchain solutions become widespread, identifying potential bugs in smart contracts written in Solidity language will be important for these solutions to work correctly. To accurately detect these bugs, the developer must use several state-of-the-art bug detection tools and investigate the potential bugs they report. In this study, we first show that one tool is not enough to detect all the bugs as our Static Analysis for Solidity tool (SA-Solidity) and the known SmartCheck and Securify tools identify different bugs in SmartEmbed's experimental set of smart contracts. Then, we develop Machine Learning-based Bug Predictor for Solidity (MLBP-Solidity) which predicts files that would be reported by all the previous bug detection tools. MLBP-Solidity eases the burden on the developer by allowing him/her to focus on a subset of files that are most probably buggy. Our experimental results show that MLBP-Solidity achieves 91-99% accuracy, depending on the type of predicted bug.","","978-1-7281-8541-5","10.1109/UYMS50627.2020.9247056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9247056","Blockchain;Ethereum;Solidity;Smart Contracts;Bug Prediction","Computer bugs;Smart contracts;Static analysis;Machine learning;Tools;Engines;Software engineering","contracts;cryptography;distributed databases;learning (artificial intelligence);program debugging;program diagnostics;software tools","SmartEmbed;SmartCheck;static analysis;bug predictor;machine learning;bug prediction engine;bug detection tools;MLBP-Solidity;SA-Solidity;Solidity tool;Solidity language;blockchain;smart contracts","","","","28","","9 Nov 2020","","","IEEE","IEEE Conferences"
