"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Semantic-Based Smart Contract Defect Detection General Platform","X. Wang; J. Li; X. Zhang","School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China; School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China; School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China","2022 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)","18 Oct 2022","2022","","","34","37","The emergence of smart contracts has brought blockchain into a new era. Smart contract has the feature that cannot be modified once deployed, which can ensure the credibility of smart contract. Security incidents on blockchain platforms in recent years have been linked to smart contracts. If the code of the smart contract contains defects, it may bring unpredictable risks and losses to the contract participants. Therefore, it is very necessary for smart contract to detect defects before deployment. To solve the above problems, this paper proposes a general platform for smart contract defect detection. The platform generates the abstract syntax tree of smart contracts, obtains the semantic description of corresponding functions, variables. Generate assertions by knowledge of security model libraries and semantic description of abstract syntax trees, and expressions, and then detects the defects of smart contracts. This paper introduces the design and implementation of the platform. Taking the variables parsed by the abstract syntax tree as an example, it explains in detail how the platform detects the delegatecall dangerous call vulnerability.","","978-1-6654-8090-1","10.1109/AEECA55500.2022.9918903","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9918903","smart contract;defect;semantic;functions","Electrical engineering;Codes;Smart contracts;Semantics;Computer applications;Syntactics;Libraries","blockchains;contracts;program diagnostics;trees (mathematics)","delegatecall dangerous call vulnerability;security model libraries;abstract syntax tree;unpredictable risks;blockchain platforms;semantic-based smart contract defect detection general platform","","","","13","IEEE","18 Oct 2022","","","IEEE","IEEE Conferences"
"Smart Contract Defect Detection Based on Parallel Symbolic Execution","Z. Tian","School of Computer Science and Technology, Beijing Institute of Technology, Beijing, China","2019 3rd International Conference on Circuits, System and Simulation (ICCSS)","19 Dec 2019","2019","","","127","132","There are more than 1 million smart contracts in Ethereum and the number of ethers managed by smart contracts has exceeded 100 million, but the security vulnerabilities in smart contracts seriously jeopardize the financial security of Ethereum users. Existing method for defect detection of smart contract bytecode using symbolic execution does not take care of the accuracy and detection realtime at same time. In this paper a smart contract bytecode defect detection algorithm based on parallel symbolic execution is proposed. We split a smart contract in units of functions by analyzing the smart contract function selection process. A symbolic execution tree is constructed for each function to predict the function execution path. Then we partition the symbolic execution tree into multiple sub-trees evenly. Finally, a process pool is used to perform parallel symbolic execution on those sub-trees to reduce the analysis time of smart contract defect detection. Experimental data shows our method has a significant improvement in detection efficiency compared with existing symbolic execution method. The speedup ratio is up to 3.1x in a 4-core computer. Besides, it does not introduce false positives or false negatives.","","978-1-7281-3657-8","10.1109/CIRSYSSIM.2019.8935603","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8935603","parallel optimization;smart contract;symbolic execution;defect detection;constraint solving","Smart contracts;Flow graphs;Task analysis;Security;Blockchain;Tools","cryptocurrencies;data flow analysis;program diagnostics;program testing;program verification;symbol manipulation;trees (mathematics)","smart contract defect detection;parallel symbolic execution;defect detection algorithm;smart contract function selection process;symbolic execution tree","","1","","19","IEEE","19 Dec 2019","","","IEEE","IEEE Conferences"
"Smart Contract Vulnerability Detection Method based on Bi-LSTM Neural Network","X. Zhang; J. Li; X. Wang","School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China; School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China; School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China","2022 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)","18 Oct 2022","2022","","","38","41","The traditional smart contract defect detection method needs to generate corresponding knowledge according to its content when discovering new defects, and then the professionals build assertions and load them into the platform for defect detection. Due to existing methods are prone to loss or misdetection of defects due to human subjective consciousness, a smart contract vulnerability identification method based on Bi-LSTM neural network is proposed. The method firstly vectorizes the smart contract code, then inputs the vectorized data into the LSTM network to generate a model, and finally uses this model to detect defects. Experiments show that this method has a high defect detection rate for different types of new defects, and it is enough to be applied to practical scenarios.","","978-1-6654-8090-1","10.1109/AEECA55500.2022.9918922","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9918922","smart contract;vulnerability detection;LSTM neural network;machine learning;original code","Electrical engineering;Codes;Smart contracts;Neural networks;Computer applications;Data models","blockchains;contracts;recurrent neural nets","human subjective consciousness;Bi-LSTM neural network;smart contract code;defect detection rate;smart contract vulnerability detection;Bi-LSTM Neural Network;blockchain;smart contract vulnerability identification","","","","11","IEEE","18 Oct 2022","","","IEEE","IEEE Conferences"
"Defining Smart Contract Defects on Ethereum","J. Chen; X. Xia; D. Lo; J. Grundy; X. Luo; T. Chen","Faculty of Information Technology, Monash University, Melbourne, VIC, Australia; Faculty of Information Technology, Monash University, Melbourne, VIC, Australia; School of Information Systems, Singapore Management University, Singapore; Faculty of Information Technology, Monash University, Melbourne, VIC, Australia; Department of Computing, Hong Kong Polytechnic University, Hong Kong; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China","IEEE Transactions on Software Engineering","10 Jan 2022","2022","48","1","327","345","Smart contracts are programs running on a blockchain. They are immutable to change, and hence can not be patched for bugs once deployed. Thus it is critical to ensure they are bug-free and well-designed before deployment. A Contract defect is an error, flaw or fault in a smart contract that causes it to produce an incorrect or unexpected result, or to behave in unintended ways. The detection of contract defects is a method to avoid potential bugs and improve the design of existing code. Since smart contracts contain numerous distinctive features, such as the gas system. decentralized, it is important to find smart contract specified defects. To fill this gap, we collected smart-contract-related posts from Ethereum StackExchange, as well as real-world smart contracts. We manually analyzed these posts and contracts; using them to define 20 kinds of contract defects. We categorized them into indicating potential security, availability, performance, maintainability and reusability problems. To validate if practitioners consider these contract as harmful, we created an online survey and received 138 responses from 32 different countries. Feedback showed these contract defects are harmful and removing them would improve the quality and robustness of smart contracts. We manually identified our defined contract defects in 587 real world smart contract and publicly released our dataset. Finally, we summarized 5 impacts caused by contract defects. These help developers better understand the symptoms of the defects and removal priority.","1939-3520","","10.1109/TSE.2020.2989002","Australian Research Council(grant numbers:DE200100021); ARC Discovery Project scheme(grant numbers:DP170101932); ARC Laureate Fellowship(grant numbers:FL190100035); Hong Kong RGC(grant numbers:152193/19E); National Natural Science Foundation of China(grant numbers:61872057); National Key Research and Development Program of China(grant numbers:2018YFB0804100); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9072659","Empirical study;smart contracts;ethereum;contract defects","Contracts;Computer bugs;Robustness;Protocols;Bitcoin","blockchains;contracts;electronic money","smart contract specified defects;smart-contract-related posts;real-world smart contracts;smart contract defect;blockchain;Ethereum StackExchange","","40","","46","IEEE","20 Apr 2020","","","IEEE","IEEE Journals"
"DefectChecker: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode","J. Chen; X. Xia; D. Lo; J. Grundy; X. Luo; T. Chen","Faculty of Information Technology, Monash University, Clayton, VIC, Australia; Faculty of Information Technology, Monash University, Clayton, VIC, Australia; School of Information Systems, Singapore Management University, Singapore, Singapore; Faculty of Information Technology, Monash University, Clayton, VIC, Australia; Department of Computing, The Hong Kong Polytechnic University, Hung Hom, Hong Kong; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China","IEEE Transactions on Software Engineering","15 Jul 2022","2022","48","7","2189","2207","Smart contracts are Turing-complete programs running on the blockchain. They are immutable and cannot be modified, even when bugs are detected. Therefore, ensuring smart contracts are bug-free and well-designed before deploying them to the blockchain is extremely important. A contract defect is an error, flaw or fault in a smart contract that causes it to produce an incorrect or unexpected result, or to behave in unintended ways. Detecting and removing contract defects can avoid potential bugs and make programs more robust. Our previous work defined 20 contract defects for smart contracts and divided them into five impact levels. According to our classification, contract defects with seriousness level between 1-3 can lead to unwanted behaviors, e.g., a contract being controlled by attackers. In this paper, we propose DefectChecker, a symbolic execution-based approach and tool to detect eight contract defects that can cause unwanted behaviors of smart contracts on the Ethereum blockchain platform. DefectChecker can detect contract defects from smart contracts’ bytecode. We verify the performance of DefectChecker by applying it to an open-source dataset. Our evaluation results show that DefectChecker obtains a high F-score (88.8 percent in the whole dataset) and only requires 0.15s to analyze one smart contract on average. We also applied DefectChecker to 165,621 distinct smart contracts on the Ethereum platform. We found that 25,815 of these smart contracts contain at least one of the contract defects that belongs to impact level 1-3, including some real-world attacks.","1939-3520","","10.1109/TSE.2021.3054928","Australian Research Council(grant numbers:DE200100021); ARC Laureate Fellowship funding scheme(grant numbers:FL190100035); ARC Discovery(grant numbers:DP200100020); Singapore's Ministry of Education(grant numbers:MOE2019-T2-1-193); Hong Kong RGC Project(grant numbers:152193/19E); National Natural Science Foundation of China(grant numbers:61872057); National Key R&D Program of China(grant numbers:2018YFB0804100); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9337195","Smart contracts;ethereum;contract defects detection;bytecode analyze;symbolic execution","Smart contracts;Blockchain;Tools;Computer bugs;Computer hacking;Virtual machining;Organizations","blockchains;contracts;Java;program debugging;program diagnostics;program testing;program verification;Turing machines","automated smart contract defect detection;DefectChecker;EVM bytecode analysis;Turing-complete programs;bug-free smart contract;symbolic execution-based approach;Ethereum blockchain platform;open-source dataset","","18","","44","IEEE","27 Jan 2021","","","IEEE","IEEE Journals"
"Summary of: A Federated Society of Bots for Smart Contract Testing","E. Viglianisi; M. Ceccato; P. Tonella","Fondazione Bruno Kessler, Trento, Italy; University of Verona, Verona, Italy; Università della Svizzera italiana, Lugano, Switzerland","2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST)","24 May 2021","2021","","","282","283","The peculiar novelty of smart contracts is a computational model where irreversible transactions are stored in a distributed persistent data storage, namely the blockchain. The technical nature of this new type of software opens to new kinds of faults, which require specific test capabilities to be revealed. In this paper we present SOCRATES, an extensible and modular framework to automatically test smart contracts. The distinctive features of SOCRATES are: (1) a collection of composable behaviours that exercise smart contracts in the blockchain; (2) it deploys a society of bots, with the purpose of detecting defects arising from multi-user interactions, which are impossible to reveal when deploying a single bot. Our empirical investigation demonstrates that SOCRATES is able expose both known and previously unknown faults in smart contracts that are actively run in the official Ethereum blockchain. Moreover, we show that a society of multiple bots is more efficient in fault exposure than a single bot alone.","2159-4848","978-1-7281-6836-4","10.1109/ICST49551.2021.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438545","Smart contracts;Software testing;Ethereum","Software testing;Bot (Internet);Conferences;Smart contracts;Memory;Blockchain;Programming","contracts;formal specification;program testing;systems analysis","single bot;federated society;bots;smart contract testing;smart contracts;distributed persistent data storage;blockchain;specific test capabilities;SOCRATES","","1","","4","IEEE","24 May 2021","","","IEEE","IEEE Conferences"
"A BiLSTM-Attention Model for Detecting Smart Contract Defects More Accurately","C. Qian; T. Hu; B. Li","School of Computer Science and Engineering, Southeast University, Nanjing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China","2022 IEEE 22nd International Conference on Software Quality, Reliability and Security (QRS)","20 Mar 2023","2022","","","53","62","Smart contracts are applications running on the blockchain which control many virtual currencies. Since smart contracts are composed of code, they inevitably have defects. In recent years, many smart contract defects have caused lots of economic losses and harmful impacts. A contract that has defects may have some errors that cause unwanted results. As smart contracts cannot be modified once deployed, it is necessary to ensure that they are free from defects. In this paper, we focus on eleven defects of smart contracts and construct a deep learning-based model to detect these contract defects more accurately. Our model regards the smart contract’s operation codes as a sequential sentence and uses an Attention-based bidirectional long short term memory (BiLSTM-Attention) model to find smart contract defects. We evaluate our model’s and other models’ performance on 45622 real-world smart contracts. The experimental results show that our model can achieve higher accuracy (95.40%) and F1-score (95.38%). In addition, our model is highly efficient and can quickly detect large numbers of contracts.","2693-9177","978-1-6654-7704-8","10.1109/QRS57517.2022.00016","Research and Development; Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10062413","smart contract;deep learning;defect detection;blockchain","Economics;Deep learning;Codes;Online banking;Smart contracts;Software quality;Numerical models","blockchains;contracts;deep learning (artificial intelligence);learning (artificial intelligence);recurrent neural nets","BiLSTM-Attention model;real-world smart contracts;smart contract defects","","","","29","IEEE","20 Mar 2023","","","IEEE","IEEE Conferences"
"Parallel Governance for Decentralized Autonomous Organizations enabled by Blockchain and Smart Contracts","W. W. Ding; X. Liang; J. Hou; G. Wang; Y. Yuan; J. Li; F. -Y. Wang","Institute of Systems Engineering, Macau University of Science and Technology, Macau, China; Institute of Systems Engineering, Macau University of Science and Technology, Macau, China; Institute of Systems Engineering, Macau University of Science and Technology, Macau, China; Institute of Systems Engineering, Macau University of Science and Technology, Macau, China; School of Mathematics, Renmin University of China, Beijing, China; College of Computer Science and Engineering, Shandong University of Science and Technology, Qingdao, China; State Key Laboratory for Management and Control of Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China","2021 IEEE 1st International Conference on Digital Twins and Parallel Intelligence (DTPI)","22 Sep 2021","2021","","","1","4","Decentralized autonomous organizations(DAOs) enabled by blockchain and smart contracts is regarded as an effective tool to solve corporate governance problems. It can minimize the contract risks, principal-agent dilemmas, and other issues in corporate governance. However, DAOs also face a variety of governance issues, such as internal governance issues and external governance issues caused by the technical attributes of blockchain and smart contracts. DAO is a typical complex system with the characteristics of both social and engineering complexity. It is difficult for existing governance theories to solve governance problems in DAOs. The parallel intelligence theory based on the artificial systems + computational experiments + parallel execution (ACP) method is a suitable research and practical approach to solve management and control problems for complex systems. Therefore, we propose a parallel governance framework for DAO based on the parallel intelligence theory and discuss its key research issues. Finally, we construct a parallel governance system for GnosisDAO, and conduct computational experiments on its voting mechanism. The results show the defects of GnosisDAO governance mechanism and we thus propose further research directions. We consider that parallel governance represents the future trend of DAO research and practice. This paper is aimed at stimulating further effort and providing helpful guidance and reference for future research works.","","978-1-6654-3337-2","10.1109/DTPI52967.2021.9540069","National Key R&D Program of China(grant numbers:2018AAA0101401); Science and Technology Development Fund, Macau SAR(grant numbers:0050/2020/A1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9540069","Blockchain;Smart Contracts;Decentralized Autonomous Organizations;Parallel Governance;Parallel Intelligence Theory;ACP","Computational modeling;Digital twin;Conferences;Smart contracts;Tools;Systems modeling;Market research","blockchains;contracts;organisational aspects;parallel processing;risk management","decentralized autonomous organizations;DAO;blockchain;smart contracts;corporate governance problems;contract risks;complex system;social engineering complexity;parallel intelligence theory;parallel execution method;complex systems;parallel governance system;GnosisDAO governance mechanism;principal-agent dilemmas","","5","","12","IEEE","22 Sep 2021","","","IEEE","IEEE Conferences"
"MuSC: A Tool for Mutation Testing of Ethereum Smart Contract","Z. Li; H. Wu; J. Xu; X. Wang; L. Zhang; Z. Chen","State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; Department of Computer Science, University of Texas at Dallas, USA; State Key Laboratory for Novel Software Technology, Nanjing University, China","2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)","9 Jan 2020","2019","","","1198","1201","The smart contract cannot be modified when it has been deployed on a blockchain. Therefore, it must be given thorough test before its being deployed. Mutation testing is considered as a practical test methodology to evaluate the adequacy of software testing. In this paper, we introduce MuSC, a mutation testing tool for Ethereum Smart Contract (ESC). It can generate numerous mutants at a fast speed and supports the automatic operations such as creating test nets, deploying and executing tests. Specially, MuSC implements a set of novel mutation operators w.r.t ESC programming language, Solidity. Therefore, it can expose the defects of smart contracts to a certain degree. The demonstration video of MuSC is available at https: //youtu.be/3KBKXJPVjbQ, and the source code can be downloaded at https://github.com/belikout/MuSC-Tool-Demo-repo.","2643-1572","978-1-7281-2508-4","10.1109/ASE.2019.00136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952206","Blockchain;Ethereum-Smart-Contract;Mutation-Test;Mutation-Operator","Smart contracts;Blockchain;Tools;Cryptography;Software testing","contracts;program testing","novel mutation operators w.r.t;Ethereum Smart Contract;practical test methodology;software testing;mutation testing tool;test nets","","25","","20","IEEE","9 Jan 2020","","","IEEE","IEEE Conferences"
"Reentrancy Vulnerability Detection of Smart Contract Based on Bidirectional Sequential Neural Network with Hierarchical Attention Mechanism","G. Xu; L. Liu; Z. Zhou","School of Software Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; School of Software Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; School of Software Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China","2022 International Conference on Blockchain Technology and Information Security (ICBCTIS)","11 Aug 2022","2022","","","56","59","In recent years, with the advent of the blockchain 2.0 era, the security problems of smart contracts have gradually emerged. The detection of contract vulnerabilities is currently a research hotspot in blockchain security [1]. Current research methods are mainly based on traditional software defect analysis methods for vulnerabilities detection, but the detection accuracy and false alarm rate are not satisfactory. In this paper, we propose a bidirectional long short-term memory neural network model (HAM-BiLSTM for short) with hierarchical attention mechanism, which takes the code segment and account information of a smart contract as input. It divides the input samples into three levels as documents: word level, sentence level and document level, and introduces attention mechanism in different levels. The aim is to detect reentrancy vulnerability more accurately and reduce the false alarm rate of the model as much as possible. The neural network model classifies smart contracts through softmax layers by learning feature information from training samples to determine the presence of reentrancy vulnerability. The experiments demonstrate that our proposed solution and model increase detection accuracy and reduce false alarm rate.","","978-1-6654-9691-9","10.1109/ICBCTIS55569.2022.00024","Chongqing Research Program of Basic Research and Frontier Technology(grant numbers:cstc2018jcyjAX0617); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9845089","smart contract;deep learning;attention mechanism","Training;Codes;Smart contracts;Neural networks;Information security;Software;Blockchains","blockchains;feature extraction;financial data processing;learning (artificial intelligence);recurrent neural nets;software reliability","reentrancy vulnerability detection;smart contract;bidirectional sequential neural network;hierarchical attention mechanism;contract vulnerabilities;blockchain security;vulnerabilities detection;false alarm rate;bidirectional long short-term memory neural network model;software defect analysis methods;softmax layers","","1","","8","IEEE","11 Aug 2022","","","IEEE","IEEE Conferences"
