"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Machine Learning Based Bug Prediction Engine For Smart Contracts","A. GÜl; Y. KÖorĞlu; A. Şen","Bogaziçi Üniversitesi,Bilgisayar Mühendisliği Bölümü; Bogaziçi Üniversitesi,Bilgisayar Mühendisliği Bölümü; Bogaziçi Üniversitesi,Bilgisayar Mühendisliği Bölümü","2020 Turkish National Software Engineering Symposium (UYMS)","9 Nov 2020","2020","","","1","6","As blockchain solutions become widespread, identifying potential bugs in smart contracts written in Solidity language will be important for these solutions to work correctly. To accurately detect these bugs, the developer must use several state-of-the-art bug detection tools and investigate the potential bugs they report. In this study, we first show that one tool is not enough to detect all the bugs as our Static Analysis for Solidity tool (SA-Solidity) and the known SmartCheck and Securify tools identify different bugs in SmartEmbed's experimental set of smart contracts. Then, we develop Machine Learning-based Bug Predictor for Solidity (MLBP-Solidity) which predicts files that would be reported by all the previous bug detection tools. MLBP-Solidity eases the burden on the developer by allowing him/her to focus on a subset of files that are most probably buggy. Our experimental results show that MLBP-Solidity achieves 91-99% accuracy, depending on the type of predicted bug.","","978-1-7281-8541-5","10.1109/UYMS50627.2020.9247056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9247056","Blockchain;Ethereum;Solidity;Smart Contracts;Bug Prediction","Computer bugs;Smart contracts;Static analysis;Machine learning;Tools;Engines;Software engineering","contracts;cryptography;distributed databases;learning (artificial intelligence);program debugging;program diagnostics;software tools","SmartEmbed;SmartCheck;static analysis;bug predictor;machine learning;bug prediction engine;bug detection tools;MLBP-Solidity;SA-Solidity;Solidity tool;Solidity language;blockchain;smart contracts","","","","28","","9 Nov 2020","","","IEEE","IEEE Conferences"
"Clairvoyance: Cross-contract Static Analysis for Detecting Practical Reentrancy Vulnerabilities in Smart Contracts","J. Ye; M. Ma; Y. Lin; Y. Sui; Y. Xue",University of Science and Technology of China; University of Science and Technology of China; National University of Singapore; University of Technology Sydney; University of Science and Technology of China,"2020 IEEE/ACM 42nd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)","1 Dec 2020","2020","","","274","275","Reentrancy bugs in smart contracts caused a devastating financial loss in 2016, considered as one of the most severe vulnerabilities in smart contracts. Most of the existing general-purpose security tools for smart contracts have claimed to be able to detect reentrancy bugs. In this paper, we present Clairvoyance, a cross-function and cross-contract static analysis by identifying infeasible paths to detect reentrancy vulnerabilities in smart contracts. To reduce FPs, we have summarized five major path protective techniques (PPTs) to support fast yet precise path feasibility checking. We have implemented our approach and compared Clairvoyance with three state-of-the-art tools on 17770 real-worlds contracts. The results show that Clairvoyance yields the best detection accuracy among all the tools.","2574-1926","978-1-4503-7122-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9270398","reentrancy detection;path feasibility analysis;cross contract analysis;smart contract security","Tools;Smart contracts;Computer bugs;Software engineering;Security;Solid modeling;Software development management","contracts;program debugging;program diagnostics;security of data","Clairvoyance;cross-contract static analysis;smart contracts;reentrancy bugs;real-worlds contracts;practical reentrancy vulnerabilities detection;cross-function;path protective techniques;detection accuracy","","","","6","","1 Dec 2020","","","IEEE","IEEE Conferences"
"ReGuard: Finding Reentrancy Bugs in Smart Contracts","C. Liu; H. Liu; Z. Cao; Z. Chen; B. Chen; B. Roscoe","Peking Univ., Beijing, China; Chieftin Lab., Shenzhen, China; Chieftin Lab., Shenzhen, China; Peking Univ., Beijing, China; Chieftin Lab., Shenzhen, China; Chieftin Lab., Shenzhen, China","2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion)","30 Aug 2018","2018","","","65","68","Smart contracts enabled a new way to perform cryptocurrency transactions over blockchains. While this emerging technique introduces free-of-conflicts and transparency, smart contract itself is vulnerable. As a special form of computer program, smart contract can hardly get rid of bugs. Even worse, an exploitable security bug can lead to catastrophic consequences, e.g., loss of cryptocurrency/money. In this demo paper, we focus on the most common type of security bugs in smart contracts, i.e., reentrancy bug, which caused the famous DAO attack with a loss of 60 million US dollars. We presented ReGuard, an fuzzing-based analyzer to automatically detect reentrancy bugs in Ethereum smart contracts. Specifically, ReGuard performs fuzz testing on smart contracts by iteratively generating random but diverse transactions. Based on the runtime traces, ReGuard further dynamically identifies reentrancy vulnerabilities. In the preliminary evaluation, we have analyzed 5 existing Ethereum contracts. ReGuard automatically flagged 7 previously unreported reentrancy bugs. A demo video of ReGuard is at https://youtu.be/XxJ3_-cmUiY.","2574-1934","978-1-4503-5663-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449446","smart contract;reentrancy bug;dynamic analysis","Contracts;Computer bugs;Fuzzing;C++ languages;Engines;Automata","contracts;fuzzy set theory;program testing;security of data","ReGuard;security bugs;Ethereum smart contracts;reentrancy bugs;fuzzing-based analyzer;DAO attack","","21","","14","","30 Aug 2018","","","IEEE","IEEE Conferences"
"A Framework and DataSet for Bugs in Ethereum Smart Contracts","P. Zhang; F. Xiao; X. Luo","Hohai University,College of Computer and Information,Nanjing,P.R.China; Hohai University,College of Computer and Information,Nanjing,P.R.China; Hong Kong Polytechnic University,Department of Computing,HongKong,P.R.China","2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)","2 Nov 2020","2020","","","139","150","Ethereum is the largest blockchain platform that supports smart contracts. Users deploy smart contracts by publishing the smart contract's bytecode to the blockchain. Since the data in the blockchain cannot be modified, even if these contracts contain bugs, it is not possible to patch deployed smart contracts with code updates. Moreover, there is currently neither a comprehensive classification framework for Ethereum smart contract bugs, nor detailed criteria for detecting bugs in smart contracts, making it difficult for developers to fully understand the negative effects of bugs and design new approaches to detect bugs. In this paper, to fill the gap, we first collect as many smart contract bugs as possible from multiple sources and divide these bugs into 9 categories by extending the IEEE Standard Classification for Software Anomalies. Then, we design the criteria for detecting each kind of bugs, and construct a dataset of smart contracts covering all kinds of bugs. With our framework and dataset, developers can learn smart contract bugs and develop new tools to detect and locate bugs in smart contracts. Moreover, we evaluate the state-of-the-art tools for smart contract analysis with our dataset and obtain some interesting findings: 1) Mythril, Slither and Remix are the most worthwhile combination of analysis tools. 2) There are still 10 kinds of bugs that cannot be detected by any analysis tool.","2576-3148","978-1-7281-5619-4","10.1109/ICSME46990.2020.00023","Natural Science Foundation of Jiangsu Province; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240706","Ethereum;Solidity;Smart contract bug","Software maintenance;Publishing;Computer bugs;Smart contracts;Blockchain;Tools;IEEE Standards","contracts;cryptography;distributed databases;IEEE standards;learning (artificial intelligence);program debugging;software engineering","patch deployed smart contracts;Ethereum smart contract bugs;smart contract analysis;blockchain platform;smart contract bytecode;comprehensive classification;IEEE standard classification;software anomalies","","1","","60","","2 Nov 2020","","","IEEE","IEEE Conferences"
"Finding Ethereum Smart Contracts Security Issues by Comparing History Versions","J. Chen",Monash University,"2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE)","24 Dec 2020","2020","","","1382","1384","Smart contracts are Turing-complete programs running on the blockchain. They cannot be modified, even when bugs are detected. The Selfdestruct function is the only way to destroy a contract on the blockchain system and transfer all the Ethers on the contract balance. Thus, many developers use this function to destroy a contract and redeploy a new one when bugs are detected. In this paper, we propose a deep learning-based method to find security issues of Ethereum smart contracts by finding the updated version of a destructed contract. After finding the updated versions, we use open card sorting to find security issues.","2643-1572","978-1-4503-6768-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9286004","Smart Contracts;Ethereum;Security Issues","Smart contracts;Computer bugs;Blockchain;Security;History;Sorting;Software engineering","contracts;learning (artificial intelligence);security of data;Turing machines","destructed contract;deep learning-based method;contract balance;blockchain system;Selfdestruct function;bugs;Turing-complete programs;history versions;Ethereum smart contracts security issues;updated version","","","","12","","24 Dec 2020","","","IEEE","IEEE Conferences"
"Cross-Contract Static Analysis for Detecting Practical Reentrancy Vulnerabilities in Smart Contracts","Y. Xue; M. Ma; Y. Lin; Y. Sui; J. Ye; T. Peng","University of Science and Technology of China,Hefei,China; University of Science and Technology of China,Hefei,China; National University of Singapore,Singapore; University of Technology Sydney,Sydney,Austrilia; University of Science and Technology of China,Hefei,China; University of Science and Technology of China,Hefei,China","2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE)","24 Dec 2020","2020","","","1029","1040","Reentrancy bugs, one of the most severe vulnerabilities in smart contracts, have caused huge financial loss in recent years. Researchers have proposed many approaches to detecting them. However, empirical studies have shown that these approaches suffer from undesirable false positives and false negatives, when the code under detection involves the interaction between multiple smart contracts. In this paper, we propose an accurate and efficient cross-contract reentrancy detection approach in practice. Rather than design rule-of-thumb heuristics, we conduct a large empirical study of 11714 real-world contracts from Etherscan against three well-known general-purpose security tools for reentrancy detection. We manually summarized the reentrancy scenarios where the state-of-the-art approaches cannot address. Based on the empirical evidence, we present Clairvoyance, a cross-function and cross-contract static analysis to detect reentrancy vulnerabilities in real world with significantly higher accuracy. To reduce false negatives, we enable, for the first time, a cross-contract call chain analysis by tracking possibly tainted paths. To reduce false positives, we systematically summarized five major path protective techniques (PPTs) to support fast yet precise path feasibility checking. We implemented our approach and compared Clairvoyance with five state-of-the-art tools on 17770 real-worlds contracts. The results show that Clairvoyance yields the best detection accuracy among all the five tools and also finds 101 unknown reentrancy vulnerabilities.","2643-1572","978-1-4503-6768-4","","National Natural Science Foundation of China(grant numbers:61972373); Australian Research Council(grant numbers:DP200101328); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9286095","reentrancy vulnerabilities;static taint analysis;cross-contract analysis;smart contracts","Smart contracts;Computer bugs;Static analysis;Tools;Security;Software engineering","contracts;data flow analysis;program diagnostics;security of data","cross-function;cross-contract static analysis;false negatives;cross-contract call chain analysis;17770 real-worlds contracts;detection accuracy;101 unknown reentrancy vulnerabilities;practical reentrancy vulnerabilities;reentrancy bugs;severe vulnerabilities;huge financial loss;undesirable false positives;multiple smart contracts;accurate cross-contract reentrancy detection approach;efficient cross-contract reentrancy detection approach;real-world contracts;well-known general-purpose security tools;reentrancy scenarios;empirical evidence","","","","53","","24 Dec 2020","","","IEEE","IEEE Conferences"
"DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode","J. Chen; X. Xia; D. Lo; J. Grundy; X. Luo; T. Chen","Faculty of Information Technology, Monash University Faculty of Information Technology, 224480 Clayton, Victoria, Australia, 3168 (e-mail: Jiachi.Chen@monash.edu); Faculty of Information Technology, Monash University Faculty of Information Technology, 224480 Clayton, Victoria, Australia, 3800 (e-mail: xxia@zju.edu.cn); School of Information Systems, Singapore Management University, Singapore, Singapore, Singapore, 17890 (e-mail: davidlo@smu.edu.sg); Faculty of IT, Monash University, Clayton, Victoria, Australia, 3800 (e-mail: john.grundy@monash.edu); Department of Computing, The Hong Kong Polytechnic University, Hong Kong, Hong Kong, Hong Kong, (e-mail: csxluo@comp.polyu.edu.hk); Institute of Big Data Security, Big Data Research Center, University of Electronic Science and Technology of China, Chengdu, Sichuan, China, (e-mail: brokendragon@uestc.edu.cn)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","Smart contracts are Turing-complete programs running on the blockchain. They are immutable and cannot be modified, even when bugs are detected. Therefore, ensuring smart contracts are bug-free and well-designed before deploying them to the blockchain is extremely important. A contract defect is an error, flaw or fault in a smart contract that causes it to produce an incorrect or unexpected result, or to behave in unintended ways. Detecting and removing contract defects can avoid potential bugs and make programs more robust. Our previous work defined 20 contract defects for smart contracts and divided them into five impact levels. According to our classification, contract defects with seriousness level between 1-3 can lead to unwanted behaviors, e.g., a contract being controlled by attackers. In this paper, we propose DefectChecker, a symbolic execution-based approach and tool to detect eight contract defects that can cause unwanted behaviors of smart contracts on the Ethereum blockchain platform. DefectChecker can detect contract defects from smart contracts' bytecode. We compare DefectChecker with key previous works, including Oyente, Mythril and Securify by using an open-source dataset. Our experimental results show that DefectChecker performs much better than these tools in terms of both speed and accuracy. We also applied DefectChecker to 165,621 distinct smart contracts on the Ethereum platform. We found that 25,815 of these smart contracts contain at least one of the contract defects that belongs to impact level 1-3, including some real-world attacks.","1939-3520","","10.1109/TSE.2021.3054928","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9337195","Smart Contracts;Ethereum;Contract Defects Detection;Bytecode Analyze;Symbolic Execution","Smart contracts;Blockchain;Tools;Computer bugs;Computer hacking;Virtual machining;Organizations","","","","","","","IEEE","27 Jan 2021","","","IEEE","IEEE Early Access Articles"
"Smart Contract: Attacks and Protections","S. Sayeed; H. Marco-Gisbert; T. Caira","School of Computing, Engineering and Physical Sciences, University of the West of Scotland, Paisley, U.K.; School of Computing, Engineering and Physical Sciences, University of the West of Scotland, Paisley, U.K.; School of Computing, Engineering and Physical Sciences, University of the West of Scotland, Paisley, U.K.","IEEE Access","12 Feb 2020","2020","8","","24416","24427","Smart contracts are programs that reside within decentralized blockchains and are executed pursuant to triggered instructions. A smart contract acts in a similar way to a traditional agreement but negates the necessity for the involvement of a third party. Smart contracts are capable of initiating their commands automatically, thus eliminating the involvement of a regulatory body. As a consequence of blockchain's immutable feature, smart contracts are developed in a manner that is distinct from traditional software. Once deployed to the blockchain, a smart contract cannot be modified or updated for security patches, thus encouraging developers to implement strong security strategies before deployment in order to avoid potential exploitation at a later time. However, the most recent dreadful attacks and the multifarious existing vulnerabilities which result as a consequence of the absence of security patches have challenged the sustainability of this technology. Attacks such as the Decentralized Autonomous Organization (DAO) attack and the Parity Wallet hack have cost millions of dollars simply as a consequence of naïve bugs in the smart contract code. In this paper, we classify blockchain exploitation techniques into 4 categories based on the attack rationale; attacking consensus protocols, bugs in the smart contract, malware running in the operating system, and fraudulent users. We then focus on smart contract vulnerabilities, analyzing the 7 most important attack techniques to determine the real impact on smart contract technology. We reveal that even adopting the 10 most widely used tools to detect smart contract vulnerabilities, these still contain known vulnerabilities, providing a dangerously false sense of security. We conclude the paper with a discussion about recommendations and future research lines to progress towards a secure smart contract solution.","2169-3536","","10.1109/ACCESS.2020.2970495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8976179","Smart contracts;attack techniques;DApp;Ethereum;vulnerability","Smart contracts;Blockchain;Bitcoin;Computer bugs","contracts;cryptography;distributed databases;invasive software;program debugging","smart contract code;smart contract vulnerabilities;smart contract technology;secure smart contract solution;decentralized blockchains;security patches;decentralized autonomous organization attack;DAO attack;Parity Wallet hack;naïve bugs;malware","","10","","75","CCBY","30 Jan 2020","","","IEEE","IEEE Journals"
"SmartCheck: Static Analysis of Ethereum Smart Contracts","S. Tikhomirov; E. Voskresenskaya; I. Ivanitskiy; R. Takhaviev; E. Marchenko; Y. Alexandrov","Univ. of Luxembourg, Luxembourg City, Luxembourg; SmartDec, Moscow, Russia; SmartDec, Moscow, Russia; SmartDec, Moscow, Russia; SmartDec, Moscow, Russia; SmartDec, Moscow, Russia","2018 IEEE/ACM 1st International Workshop on Emerging Trends in Software Engineering for Blockchain (WETSEB)","26 Aug 2018","2018","","","9","16","Ethereum is a major blockchain-based platform for smart contracts - Turing complete programs that are executed in a decentralized network and usually manipulate digital units of value. Solidity is the most mature high-level smart contract language. Ethereum is a hostile execution environment, where anonymous attackers exploit bugs for immediate financial gain. Developers have a very limited ability to patch deployed contracts. Hackers steal up to tens of millions of dollars from flawed contracts, a well-known example being ""The DAO"", broken in June 2016. Advice on secure Ethereum programming practices is spread out across blogs, papers, and tutorials. Many sources are outdated due to a rapid pace of development in this field. Automated vulnerability detection tools, which help detect potentially problematic language constructs, are still underdeveloped in this area. We provide a comprehensive classification of code issues in Solidity and implement SmartCheck - an extensible static analysis tool that detects them. SmartCheck translates Solidity source code into an XML-based intermediate representation and checks it against XPath patterns. We evaluated our tool on a big dataset of real-world contracts and compared the results with manual audit on three contracts. Our tool reflects the current state of knowledge on Solidity vulnerabilities and shows significant improvements over alternatives. SmartCheck has its limitations, as detection of some bugs requires more sophisticated techniques such as taint analysis or even manual audit. We believe though that a static analyzer should be an essential part of contract developers' toolbox, letting them fix simple bugs fast and allocate more effort to complex issues.","","978-1-4503-5726-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8445052","Ethereum;Solidity;smart contracts;static analysis;bug detection","Contracts;Static analysis;Tools;Computer bugs;Computer hacking","contracts;program debugging;program diagnostics;security of data;source code (software);XML","SmartCheck;Ethereum smart contracts;blockchain-based platform;decentralized network;high-level smart contract language;hostile execution environment;anonymous attackers;bugs;patch deployed contracts;flawed contracts;secure Ethereum programming practices;automated vulnerability detection tools;extensible static analysis tool;Solidity source code;XML-based intermediate representation;real-world contracts;manual audit;shows significant improvements;taint analysis;static analyzer;contract developers;financial gain","","1","1","41","","26 Aug 2018","","","IEEE","IEEE Conferences"
"Towards Automated Reentrancy Detection for Smart Contracts Based on Sequential Models","P. Qian; Z. Liu; Q. He; R. Zimmermann; X. Wang","School of Computer and Information Engineering, Zhejiang Gongshang University, Hangzhou, China; School of Computer and Information Engineering, Zhejiang Gongshang University, Hangzhou, China; Department of Computer Science, Zhejiang University, Hangzhou, China; School of Computing, National University of Singapore, Singapore; School of Computer and Information Engineering, Zhejiang Gongshang University, Hangzhou, China","IEEE Access","3 Feb 2020","2020","8","","19685","19695","In the last decade, smart contract security issues lead to tremendous losses, which has attracted increasing public attention both in industry and in academia. Researchers have embarked on efforts with logic rules, symbolic analysis, and formal analysis to achieve encouraging results in smart contract vulnerability detection tasks. However, the existing detection tools are far from satisfactory. In this paper, we attempt to utilize the deep learning-based approach, namely bidirectional long-short term memory with attention mechanism (BLSTM-ATT), aiming to precisely detect reentrancy bugs. Furthermore, we propose contract snippet representations for smart contracts, which contributes to capturing essential semantic information and control flow dependencies. Our extensive experimental studies on over 42,000 real-world smart contracts show that our proposed model and contract snippet representations significantly outperform state-of-the-art methods. In addition, this work proves that it is practical to apply deep learning-based technology on smart contract vulnerability detection, which is able to promote future research towards this area.","2169-3536","","10.1109/ACCESS.2020.2969429","National Basic Research Program of China (973 Program)(grant numbers:2017YFB1401300,2017YFB1401304); National Natural Science Foundation of China(grant numbers:61902348); Natural Science Foundation of Zhejiang Province(grant numbers:LQ19F020001); Science and Technology Innovation Program of Zhejiang Province, China(grant numbers:2019R408070); General Scientific Research Projects of Zhejiang Provincial Department of Education, China(grant numbers:Y201942758); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8970384","Blockchain;smart contract;deep learning;sequential models;vulnerability detection","Smart contracts;Security;Blockchain;Deep learning;Tools;Computer bugs","contracts;learning (artificial intelligence);security of data","sequential models;smart contract security issues;public attention;logic rules;symbolic analysis;formal analysis;smart contract vulnerability detection tasks;deep learning-based approach;long-short term memory;attention mechanism;reentrancy bugs;contract snippet representations;real-world smart contracts;deep learning-based technology","","3","","40","CCBY","28 Jan 2020","","","IEEE","IEEE Journals"
