"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Making Smart Contract Classification Easier and More Effective","Z. Zhu; J. Su; Z. Jiang; M. Ye; Z. Zheng","School of Computer Science and Engineering, Sun Yat-sen University; School of Software Engineering, Sun Yat-Sen University; School of Software Engineering, Sun Yat-Sen University; School of Software Engineering, Sun Yat-Sen University; School of Software Engineering, Sun Yat-Sen University","2022 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing & Communications (GreenCom) and IEEE Cyber, Physical & Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)","4 Oct 2022","2022","","","228","230","Nowadays, as an emerging and powerful technology, smart contract supports decentralized trusted computing and is widely used in various business fields such as finance, exchange and game. Although smart contracts provide a convenient way to manage funds in the business, they also bring economic loss to users. Particularly, there are a huge number of malicious smart contracts running on blockchain, which defraud users of money. Therefore, identifying the intention of smart contracts is of great significance, which will help users have a better understanding of smart contracts and reduce their financial losses. In this paper, we purpose a supervised classification method to detect the intention of smart contracts. Specifically, we extract the features of smart contracts from codes and transactions, and then use XGBoost to classify smart contracts. We conduct extensive experiments on on-chain smart contracts. The experimental results demonstrate that our features and model are capable of effectively identifying the types of smart contracts.","","978-1-6654-5417-9","10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics55523.2022.00067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9903089","Blockchain;Smart contract;Ethereum;Classification","Economics;Trusted computing;Social computing;Codes;Computational modeling;Smart contracts;Finance","blockchains;contracts;pattern classification;supervised learning;trusted computing","smart contract classification;malicious smart contracts;on-chain smart contracts;trusted computing;blockchain;supervised classification method;financial losses;XGBoost","","1","","0","IEEE","4 Oct 2022","","","IEEE","IEEE Conferences"
"Mutation testing for integer overflow in ethereum smart contracts","J. Sun; S. Huang; C. Zheng; T. Wang; C. Zong; Z. Hui","Command & Control Engineering College, Army Engineering University of PLA, Nanjing, China; Command & Control Engineering College, Army Engineering University of PLA, Nanjing, China; Command & Control Engineering College, Army Engineering University of PLA, Nanjing, China; Command & Control Engineering College, Army Engineering University of PLA, Nanjing, China; Command & Control Engineering College, Army Engineering University of PLA, Nanjing, China; Institute of Evaluation and Assessment Research, Academy of Military Science, Beijing, China","Tsinghua Science and Technology","17 Aug 2021","2022","27","1","27","40","Integer overflow is a common vulnerability in Ethereum Smart Contracts (ESCs) and often causes huge economic losses. Smart contracts cannot be changed once it is deployed on the blockchain and thus demand further testing. Mutation testing is a fault-based testing method that can effectively improve the sufficiency of a test for smart contracts. However, existing methods cannot efficiently perform mutation testing specifically for integer overflow in ESCs. Therefore, by analyzing integer overflow in ESCs, we propose five special mutation operators to address such vulnerability in terms of detecting sufficiency in ESC testing. An empirical study on 40 open-source ESCs is conducted to evaluate the effectiveness of the proposed mutation operators. Results show that: (1) our proposed mutation operators can reproduce all 179 integer overflow vulnerabilities in 40 smart contracts, and the generated mutants have high compilation pass rate and integer overflow vulnerability generation rate; moreover, (2) the generated mutants can find the shortcomings of existing testing methods for integer overflow vulnerability, thereby providing effective support to improve the sufficiency of the test.","1007-0214","","10.26599/TST.2020.9010036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515698","blockchain;Ethereum Smart Contracts (ESCs);integer overflow;mutation testing","Smart contracts;Testing;Contracts;Blockchains;Security;Tools;Sun","blockchains;contracts;program debugging;program diagnostics;program testing;public domain software","mutation testing;fault-based testing;mutation operators;ESC testing;smart contracts;open-source ESC;Ethereum smart contract testing;integer overflow vulnerability generation rate","","6","","","","17 Aug 2021","","","TUP","TUP Journals"
"A smart contract vulnerability detection model based on graph neural networks","D. Han; Q. Li; L. Zhang; T. Xu","School of Computer and Information Engineering, Henan University, Kaifeng, Henan, China; School of Computer and Information Engineering, Henan University, Kaifeng, Henan, China; School of Computer and Information Engineering, Henan University, Kaifeng, Henan, China; School of Computer and Information Engineering, Henan University, Kaifeng, Henan, China","2022 4th International Conference on Frontiers Technology of Information and Computer (ICFTIC)","27 Mar 2023","2022","","","834","837","In recent years, smart contract vulnerability detection methods mostly view smart contract source code as natural language for processing, which cannot fully capture the semantic and structural features of the source code and has a high rate of false positives and missing positives. To improve the accuracy of vulnerability detection, this paper uses Graph Neural Network to obtain the semantic and structural information of the source code and Convolutional Neural Network to assist learning. We propose a graph neural network-based vulnerability detection model for smart contracts, which transforms smart contracts into control flow graphs, learns graph embedding using graph neural networks, and introduces Convolutional Neural Networks to learn the node order information of control flow graphs, and finally performs vulnerability detection using graph embedding and node order information. Experimenting on real datasets, our accuracy and F1 values are improved and the model can effectively detect smart contract vulnerabilities.","","979-8-3503-2195-1","10.1109/ICFTIC57696.2022.10075325","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10075325","blockchain;smart contract;vulnerability detection;graph neural network","Source coding;Smart contracts;Semantics;Natural languages;Transforms;Feature extraction;Graph neural networks","blockchains;contracts;convolutional neural nets;deep learning (artificial intelligence);flow graphs;graph neural networks;graph theory;learning (artificial intelligence);neural nets;source code (software)","control flow graphs;Convolutional Neural Network;false positives;graph embedding;graph neural network-based vulnerability detection model;graph neural networks;missing positives;node order information;semantic features;semantic information;smart contract source code;smart contract vulnerabilities;smart contract vulnerability detection methods;smart contract vulnerability detection model;smart contracts;structural features;structural information","","","","11","IEEE","27 Mar 2023","","","IEEE","IEEE Conferences"
"Smart Contract Vulnerability Detection Method based on Bi-LSTM Neural Network","X. Zhang; J. Li; X. Wang","School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China; School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China; School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China","2022 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)","18 Oct 2022","2022","","","38","41","The traditional smart contract defect detection method needs to generate corresponding knowledge according to its content when discovering new defects, and then the professionals build assertions and load them into the platform for defect detection. Due to existing methods are prone to loss or misdetection of defects due to human subjective consciousness, a smart contract vulnerability identification method based on Bi-LSTM neural network is proposed. The method firstly vectorizes the smart contract code, then inputs the vectorized data into the LSTM network to generate a model, and finally uses this model to detect defects. Experiments show that this method has a high defect detection rate for different types of new defects, and it is enough to be applied to practical scenarios.","","978-1-6654-8090-1","10.1109/AEECA55500.2022.9918922","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9918922","smart contract;vulnerability detection;LSTM neural network;machine learning;original code","Electrical engineering;Codes;Smart contracts;Neural networks;Computer applications;Data models","blockchains;contracts;recurrent neural nets","human subjective consciousness;Bi-LSTM neural network;smart contract code;defect detection rate;smart contract vulnerability detection;Bi-LSTM Neural Network;blockchain;smart contract vulnerability identification","","","","11","IEEE","18 Oct 2022","","","IEEE","IEEE Conferences"
"Smart Contract Vulnerability Detection Based on Deep and Cross Network","N. Li; Y. Liu; L. Li; Y. Wang","College of Computer Science and Technology, Changchun University, Changchun, China; College of Cyber Security, Changchun University, Changchun, China; College of Computer Science and Technology, Changchun University, Changchun, China; College of Cyber Security, Changchun University, Changchun, China","2022 3rd International Conference on Computer Vision, Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)","18 Jul 2022","2022","","","533","536","Smart contract is the key core part of the blockchain’s operation, which has the feature that it cannot be changed after deploying, resulting in the fact that the vulnerabilities associated with smart contracts cannot be fixed. Currently, deep learning has the best performance for detecting smart contract vulnerabilities. However, the common deep learning method treats the smart contract source code as a text sequence, ignoring the running logic and data flow of the program, and can not extract the constructed features. In this paper, a modular vulnerability detection model Link-DC is proposed. the model takes the contract graph constructed by smart contracts and the pattern features defined by expert knowledge as the original data input to capture richer feature information through stitching. Then, the deep and cross network is adopted to construct low-dimensional and sparse features into high-dimensional nonlinear features, thus improving the performance and efficiency of detection. Extensive experiments are conducted on smart contracts with vulnerabilities on the Ether and VNTChain platforms. The experiment results show that the high detection accuracy performance of the Link-DC model is obtained, where the accuracy of detection of re-entry vulnerability, timestamp-dependent vulnerability, and infinite loop vulnerability reaches 94.37%, 92.11%, and 85.29%, respectively.","","978-1-6654-5911-2","10.1109/CVIDLICCEA56201.2022.9824581","Natural Science Foundation of Jilin Province; Jilin Scientific and Technological Development Program; Innovation Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9824581","smart contracts;vulnerability detection;deep learning;feature interaction;cross network","Deep learning;Codes;Smart contracts;Feature extraction;Data models;Data mining","blockchains;contracts;deep learning (artificial intelligence);graph theory;program diagnostics;source code (software)","stitching;Ether;pattern features;blockchain operation;VNTChain platforms;high-dimensional nonlinear features;sparse features;low-dimensional features;cross network;deep network;contract graph;modular vulnerability detection model Link-DC;smart contract source code;deep learning method;smart contract vulnerability detection","","1","","15","IEEE","18 Jul 2022","","","IEEE","IEEE Conferences"
"SCAR: Smart Contract Alarm Ranking","K. T. Tran; H. D. Vo","Faculty of Information Technology, VNU University of Engineering and Technology; Faculty of Information Technology, VNU University of Engineering and Technology","2022 29th Asia-Pacific Software Engineering Conference (APSEC)","16 Feb 2023","2022","","","447","451","In 2016, the famous attack on the smart contract named The DAO led to a financial loss of 60 million dollars. Since then, attacks on smart contracts have increased. Thus, the security issue of smart contracts has attracted more and more attention from the community, putting pressure on developers to discover security issues in smart contracts before deploying them. To address this problem, many researchers have developed smart contract analyzers to early detect potential vulnerabilities. However, a common problem with these tools is a large number of alarms with a high false positive rate. Consequently, developers need to spend much time and effort investigating the alarms which are falsely detected as vulnerable. In this paper, we propose SCAR, a novel approach to prioritize the alarms of static analysis tools. Based on the intuition that alarms with similar contexts tend to have the same labels (true positive or false positive), SCAR is built with two deep learning models to capture the patterns associated with the contexts of the labeled alarms. After that, for new alarms, SCAR calculates their likelihood to be true positives and ranks them according to the predicted scores. SCAR is evaluated on a large data set of 14,184 alarms from 47,518 realworld smart contracts. The results show that the programmers can productively find up to two-thirds of the actual vulnerabilities by investigating only 20% of the ranked alarms.","2640-0715","978-1-6654-5537-4","10.1109/APSEC57359.2022.00060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10043329","Static analysis alarms;vulnerability;false positive;smart contract;representation learning","Deep learning;Smart contracts;Static analysis;Security;Context modeling;Software engineering","blockchains;contracts;deep learning (artificial intelligence);program diagnostics","deep learning models;labeled alarms;ranked alarms;SCAR;security issue;smart contract alarm ranking;smart contract analyzers","","","","16","IEEE","16 Feb 2023","","","IEEE","IEEE Conferences"
"A Semantic-Based Smart Contract Defect Detection General Platform","X. Wang; J. Li; X. Zhang","School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China; School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China; School of Information Science and Technology, Shijiazhuang TIEDAO University, Shijiazhuang, Hebei, China","2022 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)","18 Oct 2022","2022","","","34","37","The emergence of smart contracts has brought blockchain into a new era. Smart contract has the feature that cannot be modified once deployed, which can ensure the credibility of smart contract. Security incidents on blockchain platforms in recent years have been linked to smart contracts. If the code of the smart contract contains defects, it may bring unpredictable risks and losses to the contract participants. Therefore, it is very necessary for smart contract to detect defects before deployment. To solve the above problems, this paper proposes a general platform for smart contract defect detection. The platform generates the abstract syntax tree of smart contracts, obtains the semantic description of corresponding functions, variables. Generate assertions by knowledge of security model libraries and semantic description of abstract syntax trees, and expressions, and then detects the defects of smart contracts. This paper introduces the design and implementation of the platform. Taking the variables parsed by the abstract syntax tree as an example, it explains in detail how the platform detects the delegatecall dangerous call vulnerability.","","978-1-6654-8090-1","10.1109/AEECA55500.2022.9918903","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9918903","smart contract;defect;semantic;functions","Electrical engineering;Codes;Smart contracts;Semantics;Computer applications;Syntactics;Libraries","blockchains;contracts;program diagnostics;trees (mathematics)","delegatecall dangerous call vulnerability;security model libraries;abstract syntax tree;unpredictable risks;blockchain platforms;semantic-based smart contract defect detection general platform","","","","13","IEEE","18 Oct 2022","","","IEEE","IEEE Conferences"
"The SWC-based Security Analysis Tool for Smart Contract Vulnerability Detection","N. Songsom; W. Werapun; J. Suaboot; N. Rattanavipanon","College of Computing, Prince of Songkla University, Phuket Campus; College of Computing, Prince of Songkla University, Phuket Campus; College of Computing, Prince of Songkla University, Phuket Campus; College of Computing, Prince of Songkla University, Phuket Campus","2022 6th International Conference on Information Technology (InCIT)","21 Mar 2023","2022","","","74","77","Smart contracts publicly deployed on blockchain have been shown to contain several vulnerabilities that users can maliciously exploit. To detect smart contract vulnerabilities as categorized in the Smart Contract Weakness Classification (SWC) standard, we propose the SWC-based Analysis Tool (SWAT). It operates by matching patterns in Solidity codes, making it easy to use and allowing any Solidity developers to conveniently check their smart contracts before deploying. We conducted experiments to compare the proposed solution against state-of-the-art tools in identifying 46 SWC registries. SWAT outperformed the existing tools in terms of the number of SWC vulnerabilities supported. Moreover, our solution is memory-efficient as it uses 44.58% less memory than other tools.","","978-1-6654-8912-6","10.1109/InCIT56086.2022.10067759","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10067759","SWC;vulnerability detection;smart contract;exploit;blockchain","Measurement;Codes;Smart contracts;Memory management;Static analysis;Blockchains;Security","blockchains;contracts;program diagnostics","smart contract vulnerability detection;smart contract weakness classification standard;Solidity codes;SWAT;SWC registries;SWC-based analysis tool;SWC-based security analysis tool","","","","26","IEEE","21 Mar 2023","","","IEEE","IEEE Conferences"
"Smart Contract Vulnerability Detection based on Abstract Syntax Tree","H. Yang; J. Zhang; X. Gu; Z. Cui","Computer School, Beijing Information Science and Technology University, Beijing, China; Computer School, Beijing Information Science and Technology University, Beijing, China; Computer School, Beijing Information Science and Technology University, Beijing, China; Computer School, Beijing Information Science and Technology University, Beijing, China","2022 8th International Symposium on System Security, Safety, and Reliability (ISSSR)","14 Dec 2022","2022","","","169","170","Smart contracts are computer programs running on the blockchain, and their security issues have received widespread attentions. However, existing vulnerability detection techniques such as static analysis, symbol execution, and fuzz testing could be unable to expose new types of vulnerabilities in time because they rely on extracting vulnerability features manually. On the other hand, vulnerability detection techniques based on machine learning do not require experts to define features manually and can learn vulnerability patterns automatically. In this paper, we propose a vulnerability detection technique for smart contracts, which extracts smart contract features based on the abstract syntax tree (AST) and trains the model to detect smart contract vulnerabilities. Experiment results show that the model achieves an average accuracy of 98.7% and F1-value of 0.885 in detecting three kinds of security vulnerabilities.","","978-1-6654-5397-4","10.1109/ISSSR56778.2022.00032","Beijing Information Science and Technology University(grant numbers:QXTCP C201906); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973789","Smart Contract;Vulnerability Detection;Source Code Representation;Abstract Syntax Tree","Deep learning;Smart contracts;Symbols;Static analysis;Syntactics;Fuzzing;Feature extraction","blockchains;contracts;learning (artificial intelligence)","abstract syntax tree;AST;blockchain;computer programs;machine learning;security vulnerabilities;smart contract vulnerability detection;vulnerability patterns","","","","10","IEEE","14 Dec 2022","","","IEEE","IEEE Conferences"
"Automated Auditing of Price Gouging TOD Vulnerabilities in Smart Contracts","S. M. Beillahi; E. Keilty; K. Nelaturu; A. Veneris; F. Long",University of Toronto; University of Toronto; University of Toronto; University of Toronto; University of Toronto,"2022 IEEE International Conference on Blockchain and Cryptocurrency (ICBC)","29 Jun 2022","2022","","","1","6","With the emergence of decentralized finance, smart contracts and their users become more and more susceptible to expensive exploitations. This paper investigates the price gouging transaction order dependency vulnerabilities in smart contracts. A static analysis based approach is proposed to automatically locate and rectify such vulnerabilities, and a prototype tool using Slither, a static analyzer for Solidity, is also developed. All in all, empirical results on a benchmark suite containing 51 Solidity smart contracts show that the proposed methodology can be used successfully to both detect such vulnerabilities and rectify them, or to certify that a Solidity smart contract under question does not contain such vulnerabilities.","","978-1-6654-9538-7","10.1109/ICBC54727.2022.9805509","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9805509","Smart contracts;Vulnerabilities;Static analysis","Conferences;Smart contracts;Prototypes;Finance;Static analysis;Benchmark testing;Cryptocurrency","auditing;blockchains;contracts;financial data processing;program diagnostics","decentralized finance;price gouging transaction order dependency vulnerabilities;static analysis;Solidity smart contract;price gouging TOD vulnerability auditing;Slither;blockchain;cryptographically-secure distributed ledger","","1","","31","IEEE","29 Jun 2022","","","IEEE","IEEE Conferences"
