"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Elasticity Framework for Smart Contracts","S. Dustdar; J. M. García; P. Fernandez; A. Ruiz-Cortés","Distributed Systems Group, Technische Universität Wien, Vienna, Austria; Smart Computer Systems Research and Engineering Lab (SCORE), Research Institute of Computer Engineering (I3US), Universidad de Sevilla, Seville, Spain; Smart Computer Systems Research and Engineering Lab (SCORE), Research Institute of Computer Engineering (I3US), Universidad de Sevilla, Seville, Spain; Smart Computer Systems Research and Engineering Lab (SCORE), Research Institute of Computer Engineering (I3US), Universidad de Sevilla, Seville, Spain","2021 IEEE International Conference on Smart Data Services (SMDS)","3 Nov 2021","2021","","","244","248","Smart contracts provide computation facilities to blockchains, enabling many application scenarios where automatic analysis and complex transactions can be performed. However, in situations where the flow of information is variable and there are time, quality, and/or cost constraints imposed, smart contracts do not usually offer enough performance. In this article, we describe an elasticity framework that enables dynamic adaptation of smart contracts with respect to used resources, analytics quality, and incurred costs in a transparent manner for both smart contract developers and users. We validate our framework in an Internet of Things and Smart City scenario where several analytics are computed using Elastic Smart Contracts that dynamically adapt the appropriate elasticity variables.","","978-1-6654-0058-9","10.1109/SMDS53860.2021.00039","Junta de Andalucía; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9592437","","Costs;Smart cities;Conferences;Smart contracts;Elasticity;Dynamic scheduling;Blockchains","contracts;Internet of Things","elasticity framework;smart contract developers;smart city scenario;elastic smart contracts;application scenarios;automatic analysis;complex transactions;Internet of Things","","","","16","IEEE","3 Nov 2021","","","IEEE","IEEE Conferences"
"Formal Methods for the Security Analysis of Smart Contracts","M. Maffei","TU Wien, Vienna, Austria","2021 Formal Methods in Computer Aided Design (FMCAD)","29 Nov 2021","2021","","","1","2","Smart contracts consist of distributed programs built over a blockchain and they are emerging as a disruptive paradigm to perform distributed computations in a secure and efficient way. Given their nature, however, program flaws may lead to dramatic financial losses and can be hard to fix. This motivates the need for formal methods that can provide smart contract developers with correctness and security guarantees, ideally automating the verification task. This tutorial introduces the semantic foundations of smart contracts and reviews the state-of-the-art in the field, focusing in particular on the automated, sound, static analysis of Ethereum smart contracts. We will highlight the strengths and drawbacks of different methods, suggesting open challenges that can stimulate new research strands. Finally, we will overview eThor, an automated static analysis tool that we recently developed based on rigorous semantic foundations.","2708-7824","978-3-85448-046-4","10.34727/2021/isbn.978-3-85448-046-4_3","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9617687","","Smart contracts;Static analysis;Semantics;Security;Tutorials;Tools;Task analysis","blockchains;contracts;formal specification;formal verification;program diagnostics;programming language semantics","disruptive paradigm;blockchain;program flaws;distributed computations;distributed programs;security analysis;automated static analysis tool;Ethereum smart contracts;security guarantees;smart contract developers;formal methods;dramatic financial losses","","","","","","29 Nov 2021","","","IEEE","IEEE Conferences"
"Security and Privacy Smart Contract Architecture for Energy Trading based on Blockchains","M. Nazari; S. Khorsandi; J. Babaki","Dept. Computer Engineering, Amirkabir University of Technology, Tehran, Iran; Dept. Computer Engineering, Amirkabir University of Technology, Tehran, Iran; Dept. Computer Engineering, Amirkabir University of Technology, Tehran, Iran","2021 29th Iranian Conference on Electrical Engineering (ICEE)","4 Oct 2021","2021","","","596","600","Nowaday, centralized smart grid systems encounter many challenges to peer-to-peer (P2P) energy trading, such as communications overhead, security, and privacy issues. Blockchain-based energy trading has been proposed as a possible solution to the above problems. This paper proposes a secure and automated blockchain-based framework that allows energy producers and consumers to conduct energy trade without intermediate entity interaction. Smart contracts have been established to automate the energy trade based on an agreement energy-relevant both from the supply and demand sides without third parties. In a smart contract, if all transactions are successful, the energy trade will take place. We used the Solidity programming language and Metamask wallet to create the smart contract. Then, smart contract implementation results in the Ropsten blockchain network are tested and compared with related works. According to the analysis, the proposed framework has enhanced security and privacy.","2642-9527","978-1-6654-3365-5","10.1109/ICEE52715.2021.9544155","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9544155","Peer-to-Peer energy trading;Distributed energy resources;Blockchain;Smart contract;smart grid","Electrical engineering;Privacy;Computer languages;Supply and demand;Smart contracts;Peer-to-peer computing;Blockchains","blockchains;contracts;data privacy;power engineering computing;power markets;programming languages;security of data;smart power grids;supply and demand","centralized smart grid systems;peer-to-peer energy trading;blockchain-based energy trading;secure blockchain-based framework;automated blockchain-based framework;energy producers;energy trade;smart contract implementation;privacy smart contract architecture;agreement energy;security issues;P2P energy trading;energy consumers;supply and demand;Solidity programming language;Metamask wallet;Ropsten blockchain network","","2","","13","IEEE","4 Oct 2021","","","IEEE","IEEE Conferences"
"A Literature Survey on Smart Contract Testing and Analysis for Smart Contract Based Blockchain Application Development","R. Sujeetha; C. A. S. Deiva Preetha","Computer Science and Engineering, SRMIST, Vadapalani, Chennai, India; Computer Science and Engineering, SRMIST, Vadapalani, Chennai, India","2021 2nd International Conference on Smart Electronics and Communication (ICOSEC)","12 Nov 2021","2021","","","378","385","Smart Contracts have noninheritable huge prominence within the recent years. After the Ethereum came into existence in 2015, the execution of smart contract had a great development in blockchain technology. The smart contracts execution faces number of issues to name few reliability, scalability, security. Development of Smart Contracts are not followed by standard software development life cycle. This causes the applications with smart contract(s) cannot perform exhaustive testing as well as it is expensive. The most prominent fields like smart contract testing and analysis of the code for vulnerability attracts many researchers. Targeted on reviewing the techniques and approaches discussed in various selected related papers from IEEE, science direct etc. For each of the selected research work identified open challenges that require further research. Hence this literature review on smart contract testing and analysis of smart contract code intends to emphasize the merits and demerits in smart contracts development process.","","978-1-6654-3368-6","10.1109/ICOSEC51865.2021.9591750","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591750","Smart Contract;Testing;Existing Tools","Technological innovation;Codes;Smart contracts;Tools;Software;Blockchains;Software reliability","business data processing;contracts;program testing;security of data;software engineering","smart contract testing;smart contracts execution;smart contract code;smart contracts development process;blockchain application development;software development life cycle","","8","","28","IEEE","12 Nov 2021","","","IEEE","IEEE Conferences"
"A Resource-Efficient Smart Contract for Privacy Preserving Smart Home Systems","N. Saquib; F. Bakir; C. Krintz; R. Wolski","Department of Computer Science, University of California, Santa Barbara; Department of Computer Science, University of California, Santa Barbara; Department of Computer Science, University of California, Santa Barbara; Department of Computer Science, University of California, Santa Barbara","2021 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/IOP/SCI)","18 Nov 2021","2021","","","532","539","Due to the proliferation of IoT and the popularity of smart contracts mediated by blockchain, smart home systems have become capable of providing privacy and security to their occupants. In blockchain-based home automation systems, business logic is handled by smart contracts securely. However, a blockchain-based solution is inherently resource-intensive, making it unsuitable for resource-constrained IoT devices. Moreover, time-sensitive actions are complex to perform in a blockchainbased solution due to the time required to mine a block. In this work, we propose a blockchain-independent smart contract infrastructure suitable for resource-constrained IoT devices. Our proposed method is also capable of executing time-sensitive business logic. As an example of an end-to-end application, we describe a smart camera system using our proposed method, compare this system with an existing blockchain-based solution, and present an empirical evaluation of their performance.","","978-1-6654-1236-0","10.1109/SWC50871.2021.00079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9604379","IoT;smart contract;smart home;ethereum;blockchain","Performance evaluation;Privacy;Technological innovation;Smart cities;Smart contracts;Smart homes;Blockchains","blockchains;contracts;data privacy;home automation;Internet of Things","resource-efficient smart contract;privacy preserving smart home systems;smart contracts;security;blockchain-based home automation systems;resource-constrained IoT devices;time-sensitive actions;blockchain-independent smart contract infrastructure;time-sensitive business logic;smart camera system;blockchain-based solution;IoT devices","","2","","35","IEEE","18 Nov 2021","","","IEEE","IEEE Conferences"
"A Formal Specification Smart-Contract Language for Legally Binding Decentralized Autonomous Organizations","V. Dwivedi; A. Norta; A. Wulf; B. Leiding; S. Saxena; C. Udokwu","Department of Software Science, Tallinn University of Technology, Tallinn, Estonia; Department of Software Science, Tallinn University of Technology, Tallinn, Estonia; SRH Berlin University of Applied Sciences, Berlin, Germany; Institute for Software and Systems Engineering, Clausthal University of Technology, Clausthal, Germany; Galgotias College of Engineering and Technology, Greater Noida, India; Department of Software Science, Tallinn University of Technology, Tallinn, Estonia","IEEE Access","26 May 2021","2021","9","","76069","76082","Blockchain- and smart-contract technology enhance the effectiveness and automation of business processes. The rising interest in the development of decentralized autonomous organizations (DAO) shows that blockchain technology has the potential to reform business and society. A DAO is an organization wherein business rules are encoded in smart-contract programs that are executed when specified rules are met. The contractual- and business semantics are sine qua non for drafting a legally-binding smart contract in DAO collaborations. Several smart-contract languages (SCLs) exist, such as SPESC, or Symboleo to specify a legally-binding contract. However, their primary focus is on designing and developing smart contracts with the cooperation of IT- and non-IT users. Therefore, this paper fills a gap in the state of the art by specifying a smart-legal-contract markup language (SLCML) for legal- and business constructs to draft a legally-binding DAO. To achieve the paper objective, we first present a formal SCL ontology to describe the legal- and business semantics of a DAO. Secondly, we translate the SCL ontology into SLCML, for which we present the XML schema definition. We demonstrate and evaluate our SLCML language through the specification of a real life-inspired Sale-of-Goods contract. Finally, the SLCML use-case code is translated into Solidity to demonstrate its feasibility for blockchain platform implementations.","2169-3536","","10.1109/ACCESS.2021.3081926","Erasmus+ Strategic Partnerships Project Blockchain for Entrepreneurs - a Non-Traditional Industry 4.0 Curriculum for Higher Education(grant numbers:2018-1-RO01-KA203-049510); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9435331","Blockchain;smart contract;decentralized autonomous organization;ontology;smart contract language;business process;B2B","Blockchain;Smart contracts;Collaboration;Contracts;Ontologies;Organizations;Automobiles","business data processing;commerce;contracts;electronic commerce;formal specification;ontologies (artificial intelligence);XML","specified rules;contractual- business semantics;legally-binding smart contract;DAO collaborations;smart-contract languages;legally-binding contract;designing developing smart contracts;smart-legal-contract markup language;business constructs;legally-binding DAO;formal SCL ontology;legal- business semantics;SLCML language;life-inspired Sale-of-Goods contract;blockchain platform implementations;formal specification smart-contract language;legally binding decentralized autonomous organizations;smart-contract technology;business processes;rising interest;blockchain technology;business rules;smart-contract programs","","16","","57","CCBY","19 May 2021","","","IEEE","IEEE Journals"
"iSCREAM: a suite for Smart Contract REAdability assessMent","G. Canfora; A. Di Sorbo; M. Fredella; A. Vacca; C. A. Visaggio","University of Sannio, Italy; University of Sannio, Italy; University of Sannio, Italy; University of Sannio, Italy; University of Sannio, Italy","2021 IEEE International Conference on Software Maintenance and Evolution (ICSME)","24 Nov 2021","2021","","","579","583","Blockchain is increasingly revolutionizing a variety of sectors, from finance to healthcare. Indeed, the availability of public blockchain platforms, such as Ethereum, has stimulated the development of hundreds of decentralized apps (dApps) that combine smart contract(s) and a front-end user interface. Smart contracts are software, as well, and, as traditional software, they require to be developed and maintained or evolved. Among all the quality properties that must be assessed and guaranteed, readability is a key aspect of source code: a highly readable code facilitates its maintainability, portability, and reusability. This is especially true when considering smart contracts, where code reuse is widely adopted. Indeed, smart contract developers often integrate code portions from other smart contracts in their artifacts. To help developers and researchers more easily estimating and monitoring the code readability of smart contracts, in this demo, we present iSCREAM. iSCREAM automatically inspects Solidity smart contracts and computes a set of metrics that previous research demonstrated being related to code readability. We evaluated iSCREAM on 90 real-world smart contract functions, showing that our tool correctly computes all the aforementioned metrics. Demo webpage: https://github.com/mfredella/iSCREAM","2576-3148","978-1-6654-2882-8","10.1109/ICSME52107.2021.00060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9609171","Blockchain;Smart Contracts;Code readability","Measurement;Software maintenance;Codes;Conferences;Smart contracts;Finance;Medical services","blockchains;contracts;distributed processing;software maintenance;user interfaces","code readability;iSCREAM;smart contract developers;Solidity smart contracts;smart contract readability assessment;maintainability;portability;reusability;decentralized apps;front-end user interface","","1","","23","IEEE","24 Nov 2021","","","IEEE","IEEE Conferences"
"Demo: Cloak: A Framework For Development of Confidential Blockchain Smart Contracts","Q. Ren; H. Liu; Y. Li; H. Lei","Oxford-Hainan Blockchain Research Institute, Hainan, China; Oxford-Hainan Blockchain Research Institute, Hainan, China; Oxford-Hainan Blockchain Research Institute, Hainan, China; Oxford-Hainan Blockchain Research Institute, Hainan, China","2021 IEEE 41st International Conference on Distributed Computing Systems (ICDCS)","4 Oct 2021","2021","","","1102","1105","In recent years, as blockchain adoption has been expanding across a wide range of domains, e.g., digital asset, supply chain finance, etc., the confidentiality of smart contracts is now a fundamental demand for practical applications. However, while new privacy protection techniques keep coming out, how existing ones can best fit development settings is little studied. Suffering from limited architectural support in terms of programming interfaces, state-of-the-art solutions can hardly reach general developers. In this paper, we proposed the CLOAK framework for developing confidential smart contracts. The key capability of Cloak is allowing developers to implement and deploy practical solutions to multi-party transaction (MPT) problems, i.e., transact with secret inputs and states owned by different parties by simply specifying it. To this end, CLOAK introduced a domain-specific annotation language for declaring privacy specifications and further automatically generating confidential smart contracts to be deployed with trusted execution environment (TEE) on blockchain. In our evaluation on both simple and real-world applications, developers managed to deploy business services on blockchain in a concise manner by only developing CLOAK smart contracts whose size is less than 30% of the deployed ones.","2575-8411","978-1-6654-4513-9","10.1109/ICDCS51616.2021.00111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9546461","Blockchain;Smart contract privacy;Trusted execution environment","Privacy;Annotations;Conferences;Smart contracts;Supply chains;Finance;Programming","blockchains;contracts;data protection;formal specification;specification languages;transaction processing;trusted computing;user interfaces","confidential smart contracts;multiparty transaction problems;secret inputs;domain-specific annotation language;privacy specifications;privacy protection;confidential blockchain smart contract development;smart contract confidentiality;CLOAK smart contract development;trusted execution environment;TEE;programming interfaces","","2","","10","IEEE","4 Oct 2021","","","IEEE","IEEE Conferences"
"SmartWarden: Automated Intrusion Detection System for Smart Contracts","X. Echeberria-Barrio; F. Zola; L. Segurola-Gil; R. Orduna-Urrutia","Vicomtech Foundation, Basque Research and Technology Alliance (BRTA), Donostia, San Sebastian, Spain; Vicomtech Foundation, Basque Research and Technology Alliance (BRTA), Donostia, San Sebastian, Spain; Vicomtech Foundation, Basque Research and Technology Alliance (BRTA), Donostia, San Sebastian, Spain; Vicomtech Foundation, Basque Research and Technology Alliance (BRTA), Donostia, San Sebastian, Spain","2021 3rd Conference on Blockchain Research & Applications for Innovative Networks and Services (BRAINS)","25 Oct 2021","2021","","","51","52","Blockchain technology has gained much relevance in recent years, specifically the smart contract functionality, due to its great potential to decentralize different required scenarios. This technology brings many advantages, in particular, smart contracts provide blockchain with very great versatility. However, these smart contracts can bring some threats to the blockchain. This study has focused on the development of an intrusion detection system (IDS) based on the path study. This IDS defends the smart contracts, monitoring the transactions received by the targeted smart contract and generating the paths where the transactions are coming. These generated paths will have some features that are extracted and analyzed. Our approach suggests implementing an automated IDS on smart contracts to defend them from potential threats.","","978-1-6654-3924-4","10.1109/BRAINS52497.2021.9569806","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9569806","Cybersecurity analysis;DLT analysis;Smart contract vulnerabilities;Intrusion detection system","Smart contracts;Intrusion detection;Feature extraction;Blockchains;Computer security;Monitoring","blockchains;contracts;feature extraction","automated intrusion detection system;blockchain technology;smart contract functionality;SmartWarden;IDS;path study;transaction monitoring;feature extraction","","","","4","IEEE","25 Oct 2021","","","IEEE","IEEE Conferences"
"zkHawk: Practical Private Smart Contracts from MPC-based Hawk","A. Banerjee; M. Clear; H. Tewari","ADAPT Centre, School of Comp Sci & Stats Trinity College Dublin, Dublin, Ireland; School of Comp Sci & Stats, Trinity College Dublin, Dublin, Ireland; School of Comp Sci & Stats, Trinity College Dublin, Dublin, Ireland","2021 3rd Conference on Blockchain Research & Applications for Innovative Networks and Services (BRAINS)","25 Oct 2021","2021","","","245","248","Cryptocurrencies have received a lot of research attention in recent years following the release of the first cryp-tocurrency Bitcoin. With the rise in cryptocurrency transactions, the need for smart contracts has also increased. Smart contracts, in a nutshell, are digitally executed contracts wherein some parties execute a common goal. The main problem with most of the current smart contracts is that there is no privacy for a party's input to the contract from either the blockchain or the other parties. Our research builds on the Hawk project that provides transaction privacy along with support for smart contracts. However, Hawk relies on a special trusted party known as a manager, which must be trusted not to leak each party's input to the smart contract. In this paper, we present a practical private smart contract protocol that replaces the manager with an MPC protocol such that the function to be executed by the MPC protocol is relatively lightweight, involving little overhead added to the smart contract function, and uses practical sigma protocols and homomorphic commitments to prove to the blockchain that the sum of the incoming balances to the smart contract matches the sum of the outgoing balances. An extended version of the paper is available at [1].","","978-1-6654-3924-4","10.1109/BRAINS52497.2021.9569822","Science Foundation Ireland(grant numbers:13/RC/2106); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9569822","Hawk;Private Smart Contracts;Multi-Party Computation","Privacy;Smart contracts;Bitcoin;Blockchains","blockchains;contracts;cryptocurrencies;cryptographic protocols;data privacy","practical private smart contract protocol;smart contract function;zkHawk;MPC-based Hawk;cryp-tocurrency Bitcoin;cryptocurrency transactions;digitally executed contracts;blockchain;Hawk project;transaction privacy;special trusted party;party input;MPC protocol;practical sigma protocols;homomorphic commitments","","7","","14","IEEE","25 Oct 2021","","","IEEE","IEEE Conferences"
