Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Correction to: The Shariah Framework for Smart Contracts, an Original Analytical Study","Sustainable Finance, Digitalization and the Role of Technology","","","","10.1007/978-3-031-08084-5_74","Abdulmajid Obaid Hasan SalehAlaa Saleh HalawaniMohammad Abdelhamid Salem Qatawneh","2023","http://link.springer.com/chapter/10.1007/978-3-031-08084-5_74","Chapter"
"Systematic literature review on smart contracts in the construction industry: Potentials, benefits, and challenges","Frontiers of Engineering Management","","9","2","10.1007/s42524-022-0188-2","Xuling YeNingshuang ZengMarkus König","2022","http://link.springer.com/article/10.1007/s42524-022-0188-2","Article"
"How to Improve Smart Contracts in the European Union Data Act","Digital Society","","2","1","10.1007/s44206-023-00038-2","Alexandru CirciumaruFederico CasolariMariarosaria TaddeoAina TurillazziLuciano Floridi","2023","http://link.springer.com/article/10.1007/s44206-023-00038-2","Article"
"Blockchain-smart contracts for sustainable project performance: bibliometric and content analyses","Environment, Development and Sustainability","","","","10.1007/s10668-023-03063-w","Mengyuan ChengHeap-Yih ChongYongshun Xu","2023","http://link.springer.com/article/10.1007/s10668-023-03063-w","Article"
"Collaborative Smart Contracts (CoSC): example of real estate purchase and sale(s)","The Journal of Supercomputing","","","","10.1007/s11227-023-05196-1","Tunahan TimuçinSerdar Biroǧul","2023","http://link.springer.com/article/10.1007/s11227-023-05196-1","Article"
"TP-Detect: trigram-pixel based vulnerability detection for Ethereum smart contracts","Multimedia Tools and Applications","","","","10.1007/s11042-023-15042-4","Lohith J JAnusree Manoj KGuru Nanma PPooja Srinivasan","2023","http://link.springer.com/article/10.1007/s11042-023-15042-4","Article"
"Characterizing and Detecting Gas-Inefficient Patterns in Smart Contracts","Journal of Computer Science and Technology","","37","1","10.1007/s11390-021-1674-4","Que-Ping KongZi-Yan WangYuan HuangXiang-Ping ChenXiao-Cong ZhouZi-Bin ZhengGang Huang","2022","http://link.springer.com/article/10.1007/s11390-021-1674-4","Article"
"A survey on security in consensus and smart contracts","Peer-to-Peer Networking and Applications","","15","2","10.1007/s12083-021-01268-2","Xuelian CaoJianhui ZhangXuechen WuBo Liu","2022","http://link.springer.com/article/10.1007/s12083-021-01268-2","Article"
"Exploring the trust mechanism of digital intellectual property transactions based on smart contracts","International Cybersecurity Law Review","","3","2","10.1365/s43439-022-00061-y","Guilisse La Fortune Nkoua NkuikaXia Yiqun","2022","http://link.springer.com/article/10.1365/s43439-022-00061-y","Article"
"Measuring performances and footprint of blockchains with BCTMark: a case study on Ethereum smart contracts energy consumption","Cluster Computing","","25","4","10.1007/s10586-021-03441-x","Dimitri SaingreThomas LedouxJean-Marc Menaud","2022","http://link.springer.com/article/10.1007/s10586-021-03441-x","Article"
"Developing dynamic digital capabilities in micro-multinationals through platform ecosystems: Assessing the role of trust in algorithmic smart contracts","Journal of International Entrepreneurship","","","","10.1007/s10843-023-00332-7","Arindam Das","2023","http://link.springer.com/article/10.1007/s10843-023-00332-7","Article"
